shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
391050,41.403988,27.347235,1
391050,41.404057,27.347301,2
391050,41.404457,27.34753,3
391050,41.40471,27.34773,4
391050,41.40527,27.3478,5
391050,41.406034,27.347781,6
391050,41.406275,27.347803,7
391050,41.406685,27.347813,8
391050,41.406528,27.348253,9
391050,41.406422,27.34863,10
391050,41.406133,27.349494,11
391050,41.405518,27.351545,12
391050,41.405388,27.351906,13
391050,41.404771,27.353283,14
391050,41.404216,27.354344,15
391050,41.404061,27.354676,16
391050,41.40356,27.355605,17
391050,41.403932,27.35574,18
391050,41.404267,27.355788,19
391050,41.404217,27.357582,20
391050,41.404013,27.361207,21
391050,41.403805,27.363598,22
391050,41.403449,27.364553,23
391050,41.403377,27.364825,24
391050,41.403482,27.364942,25
391050,41.403539,27.365131,26
391050,41.403551,27.365407,27
391050,41.403527,27.365678,28
391050,41.403198,27.367462,29
391050,41.403996,27.367786,30
391050,41.405148,27.368337,31
391050,41.405668,27.368601,32
391050,41.405907,27.368747,33
391050,41.405535,27.36999,34
391050,41.405333,27.370521,35
391050,41.404128,27.369836,36
391050,41.403266,27.369275,37
391050,41.402827,27.37039,38
391050,41.402246,27.372029,39
391050,41.403107,27.372378,40
391050,41.403574,27.372602,41
391050,41.403427,27.373259,42
391050,41.40318,27.374767,43
391050,41.403614,27.375033,44
391050,41.403584,27.375185,45
391050,41.403614,27.375199,46
391050,41.403659,27.375061,47
391050,41.40365,27.374994,48
391050,41.403512,27.374935,49
391050,41.403203,27.374731,50
391050,41.403427,27.373418,51
391101,41.4093981,27.3537607,1
391101,41.4005197,27.3453865,2
391001,41.382767,27.394332,1
391001,41.385116,27.392236,2
391001,41.387755,27.389176,3
391001,41.390684,27.385871,4
391001,41.392608,27.383606,5
391001,41.394555,27.381438,6
391001,41.398666,27.376633,7
391001,41.399428,27.375432,8
391001,41.400061,27.374037,9
391001,41.400893,27.371527,10
391001,41.402048,27.368455,11
391001,41.402633,27.36679,12
391001,41.402773,27.365958,13
391001,41.40272,27.365211,14
391001,41.40269,27.36379,15
391001,41.402546,27.362398,16
391001,41.402428,27.361485,17
391001,41.40237,27.361261,18
391001,41.40213,27.358873,19
391001,41.402065,27.357517,20
391001,41.40205,27.356373,21
391001,41.40217,27.355133,22
391001,41.403309,27.355587,23
391001,41.403441,27.355603,24
391001,41.403718,27.355705,25
391001,41.404185,27.355805,26
391001,41.404546,27.355834,27
391001,41.405293,27.355679,28
391001,41.405727,27.355633,29
391001,41.405986,27.355642,30
391001,41.406397,27.35563,31
391001,41.406708,27.354931,32
391001,41.407173,27.355223,33
391001,41.408853,27.356575,34
391001,41.408974,27.35628,35
391001,41.409139,27.355936,36
391001,41.409238,27.355889,37
391001,41.409186,27.355206,38
391001,41.409072,27.354318,39
391001,41.409084,27.354118,40
391001,41.409275,27.353903,41
391001,41.409032,27.353548,42
391001,41.409218,27.352379,43
391001,41.409217,27.35207,44
391001,41.409002,27.351228,45
391001,41.408848,27.350707,46
391001,41.408718,27.350186,47
391001,41.408521,27.34956,48
391001,41.408478,27.349111,49
391001,41.408324,27.348651,50
391001,41.407626,27.347811,51
391001,41.407565,27.346954,52
391001,41.407157,27.346997,53
391001,41.406983,27.347166,54
391001,41.406861,27.347384,55
391001,41.406702,27.347848,56
391001,41.405163,27.347728,57
391001,41.404515,27.347751,58
391001,41.403431,27.347446,59
391001,41.402415,27.346782,60
391001,41.401409,27.346171,61
391001,41.40042,27.345454,62
391100,41.4005197,27.3453865,1
391100,41.409551,27.35375,2
391090,41.4084923,27.3511158,1
391090,41.407823,27.332987,2
391000,41.400384,27.345448,1
391000,41.401282,27.346036,2
391000,41.401916,27.344002,3
391000,41.403901,27.345119,4
391000,41.403457,27.347592,5
391000,41.404352,27.347765,6
391000,41.404387,27.347387,7
391000,41.404127,27.346972,8
391000,41.403918,27.347364,9
391000,41.404025,27.34752,10
391000,41.404338,27.347469,11
391000,41.404424,27.347441,12
391000,41.404388,27.347738,13
391000,41.406676,27.347865,14
391000,41.40558,27.35117,15
391000,41.405315,27.35202,16
391000,41.40495,27.3529,17
391000,41.403561,27.355594,18
391000,41.402142,27.355149,19
391000,41.40207,27.355813,20
391000,41.402067,27.356504,21
391000,41.402116,27.357865,22
391000,41.402332,27.360698,23
391000,41.402566,27.363241,24
391000,41.402653,27.364414,25
391000,41.402496,27.365441,26
391000,41.402472,27.366867,27
391000,41.40221,27.367865,28
391000,41.400644,27.372044,29
391000,41.399865,27.374179,30
391000,41.399412,27.375194,31
391000,41.398814,27.376241,32
391000,41.394189,27.381663,33
391000,41.390104,27.386343,34
391000,41.384465,27.392734,35
391000,41.383644,27.393637,36
391000,41.382815,27.394502,37
391041,41.413956,27.355436,1
391041,41.413598,27.3571,2
391041,41.413474,27.357564,3
391041,41.413177,27.357438,4
391041,41.412533,27.359544,5
391041,41.412739,27.360079,6
391041,41.412925,27.360923,7
391041,41.412986,27.361446,8
391041,41.412938,27.365949,9
391041,41.412935,27.368366,10
391041,41.412879,27.369954,11
391041,41.412017,27.369606,12
391041,41.411793,27.369473,13
391041,41.408831,27.366651,14
391041,41.40773,27.365582,15
391041,41.40748,27.36551,16
391041,41.406334,27.364893,17
